"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 18:52:26 MSK 2024","Mon Feb 12 18:52:37 MSK 2024","10796","Default Suite","DemoblazeStore","HomepageNavigation","HomepageNavigation","SlideOnTheLeftAndRight","SlideOnTheLeftAndRight",""
"passed","Mon Feb 12 18:52:59 MSK 2024","Mon Feb 12 18:53:20 MSK 2024","21381","Default Suite","DemoblazeStore","Registration","Registration","RegistrationAndLogin","RegistrationAndLogin",""
"passed","Mon Feb 12 18:53:20 MSK 2024","Mon Feb 12 18:53:28 MSK 2024","7345","Default Suite","DemoblazeStore","Registration","Registration","UserAlreadyExist","UserAlreadyExist",""
"passed","Mon Feb 12 18:54:24 MSK 2024","Mon Feb 12 18:54:30 MSK 2024","6347","Default Suite","DemoblazeStore","Login","Login","EmptyFields","EmptyFields",""
"passed","Mon Feb 12 18:52:37 MSK 2024","Mon Feb 12 18:52:41 MSK 2024","4086","Default Suite","DemoblazeStore","HomepageNavigation","HomepageNavigation","CategoriesButtons","CategoriesButtons",""
"passed","Mon Feb 12 18:54:12 MSK 2024","Mon Feb 12 18:54:18 MSK 2024","5717","Default Suite","DemoblazeStore","Login","Login","AllDataIsIncorrect","AllDataIsIncorrect",""
"failed","Mon Feb 12 18:40:40 MSK 2024","Mon Feb 12 18:41:03 MSK 2024","22509","Default Suite","DemoblazeStore","Cart","Cart","PurchaseOfGoods","PurchaseOfGoods",""
"passed","Mon Feb 12 18:53:28 MSK 2024","Mon Feb 12 18:53:36 MSK 2024","7840","Default Suite","DemoblazeStore","Registration","Registration","EmptyFields","EmptyFields",""
"passed","Mon Feb 12 18:53:47 MSK 2024","Mon Feb 12 18:54:12 MSK 2024","24901","Default Suite","DemoblazeStore","Login","Login","AllDataIsCorrect","AllDataIsCorrect",""
"passed","Mon Feb 12 18:54:18 MSK 2024","Mon Feb 12 18:54:24 MSK 2024","5468","Default Suite","DemoblazeStore","Login","Login","IncorrectPassword","IncorrectPassword",""
